Name,Level,Attribute,Special 1,Special 2,Special 3,Move#1,Move#2,Move#3,Move#4,Move#5,Move#6,Move#7,Move#8,Move#9,Move#10,Move#11,Move#12,Move#13,Move#14,Move#15,Move#16,Sleeping Schedule,Favourite Food,Energy Capacity,Training Type,Liked Areas,Energy Usage Mod,Disliked Areas,Base Weight,Gain HP,Gain MP,Gain Offense,Gain Defense,Gain Speed,Gain Brains,Evolve From 1,Evolve From 2,Evolve From 3,Evolve From 4,Evolve From 5,Evolve To 1,Evolve To 2,Evolve To 3,Evolve To 4,Evolve To 5,Evolve To 6
MetalGreymon,Perfect,Vaccine,Machine,Fire,Combat,Mechanical Claw,Magma Bomb,War Cry,Charge Attack,Fire Wall,Upgrade,Energy Ball,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,,,,,,07:00-22:00,Super Veggie,90,+HP -BRN,"Bonkeno Volcano, Ancient Bone Swamp",1.9,"Ancient Submerged City, Night Canyon",56,4500,2400,410,380,325,295,Greymon,Stingmon,,,,VictoryGreymon,WarGreymon,,,,
AtlurKabuterimon,Perfect,Vaccine,Nature,Combat,Air,Poison Powder,Thunderstorm,Earth Coat,Poison Circle,Roots Bind,Rock Fall,Land Slide,Poison Storm,Heavy Impact,War Cry,Charge Attack,,,,,,19:00-09:00,Edible Cactus,90,+HP -MP,"Signpost Forest, Ancient Bone Swamp",1.85,"Sewer Maze, Powdery Cliffs",40,4700,3000,325,380,325,300,Kabuterimon,Sunflowmon,Birdramon,,,HerakleKabuterimon,Magnamon,,,,
Garudamon,Perfect,Vaccine,Air,Combat,None,Electric Shoot,Wind Shoes,Air Cutter,Electric Cloud,Thunderstorm,Confuse Storm,Hurricane,Muscle Charge,Spin Attack,Heavy Impact,War Cry,,,,,,07:00-22:00,Digipine,90,+SPD -ATK,"Bonkeno Volcano, Sand and Gravel Wilderness",1.8,"Flourescent Cave, Powdery Cliffs",52,2900,3600,300,340,420,390,Airdramon,Birdramon,V-dramon,,,Hououmon,Seraphimon,,,,
Etemon,Perfect,Virus,Combat,Filth,None,Mach Jab,Ultra Stink Spray,Poop Trap,Poop Barrier,Random Poop Toss,Poop Fall,Ultimate Poop Hell,Dirty Kick,Muscle Charge,Spin Attack,Charge Attack,,,,,,11:00-01:00,Orange Banana,90,+ATK -MP,"Sewer Maze, Sand and Gravel Wilderness",1.8,"Railroad Plains, Bonkeno Volcano",35,4900,2600,360,340,440,310,Numemon,Togemon,Orgemon,,,MetalEtemon,PlatinumNumemon,,,,
MarinAngemon,Ultimate,Vaccine,Ice,Light,None,Splash,Hailstone,Bubble Breath,Waterfall,Heavy Rain,Ice Statue,Aurora Freeze,Wind Shoes,Air Cutter,Thunderstorm,Light Soul,Flash,Holy Sunshine,Judgement,,,07:00-22:00,Digi Trout,90,+BRN -ATK,"Ancient Submerged City, Binary Castle",1.7,"Bonkeno Volcano, Sand and Gravel Wilderness",34,5500,7000,550,580,670,750,MegaSeadramon,Angewomon,Piccolomon,,,,,,,,
WarGreymon,Ultimate,Vaccine,Machine,Combat,Fire,Energy Ball,Magma Bomb,Mach Jab,Spin Attack,War Cry,Charge Attack,Fighting Aura,Fire Tower,Upgrade,Mechanical Claw,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,,,07:00-22:00,Robust Fruit,100,+ATK -MP,"Bonkeno Volcano, Ancient Bone Swamp",1.95,"Ancient Submerged City, Powdery Cliffs",58,7000,4500,730,680,640,600,MetalGreymon,SkullGreymon,,,,Omegamon,WarGreymon X-Antibody,,,,
Lilithmon,Ultimate,Virus,Darkness,Ice,None,Loose Cloud,Hailstone,Splash,Waterfall,Heavy Rain,Ice Statue,Aurora Freeze,Poison Circle,Roots Bind,Heavy Impact,Bubble Breath,Dark Spirit,Evil Squall,Judgement,,,19:00-09:00,Ice Mushroom,90,+BRN -DEF,"Powdery Cliffs, Night Canyon",1.75,"Railroad Plains, Sewer Maze",38,5400,6300,680,550,620,780,Lilamon,LadyDevimon,,,,,,,,,
Beelzebumon,Ultimate,Virus,Darkness,Fire,None,Loose Cloud,Fire Tower,Fire Wall,Mine,Spread Bomb,Magma Bomb,Flame Storm,Wind Shoes,War Cry,Heavy Laser,Fire Breath,Dark Spirit,Evil Squall,Judgement,,,19:00-09:00,Super Veggie,100,+ATK -BRN,"Binary Castle, Night Canyon",1.85,"Railroad Plains, Signpost Forest",46,6800,4800,780,520,780,560,Vamdemon,DeathMeramon,WaruMonzaemon,,,Beelzebumon X-Antibody,,,,,
Barbamon,Ultimate,Virus,Darkness,Nature,Ice,Loose Cloud,Dark Spirit,Evil Squall,Roots Bind,Rock Fall,Land Slide,Poison Storm,Heavy Rain,Ice Statue,Aurora Freeze,Electric Cloud,Thunderstorm,Confuse Storm,Hurricane,,,01:00-15:00,Chain Melon,100,+BRN -DEF,"Bonkeno Volcano, Powdery Cliffs",1.85,"Sewer Maze, Binary Castle",46,8000,9500,820,780,820,980,Vamdemon,DeathMeramon,,,,,,,,,
Chaosmon,Ultimate,Vaccine,Combat,Fire,Light,Spin Attack,Magma Bomb,Flame Storm,Ice Statue,Mine,Muscle Charge,Mach Jab,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Light Soul,Flash,Holy Sunshine,Aurora Freeze,,04:00-18:00,Moldy Meat,100,+ATK -MP,"Bonkeno Volcano, Binary Castle",1.95,"Powdery Cliffs, Ancient Bone Swamp",50,7500,5500,950,600,850,550,BanchoLeomon,Darkdramon,,,,,,,,,
Darkdramon,Ultimate,Virus,Machine,Darkness,None,Energy Ball,Upgrade,Mechanical Claw,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,Dark Spirit,Loose Cloud,Evil Squall,Air Cutter,Confuse Storm,,,,,16:00-06:00,Happy Mushroom,100,+BRN -HP,"Binary Castle, Night Canyon",1.95,"Railroad Plains, Signpost Forest",62,5300,6200,650,610,670,720,Megadramon,Gigadramon,,,,Chaosmon,,,,,
BanchoLeomon,Ultimate,Vaccine,Combat,Fire,Ice,Spin Attack,Magma Bomb,Flame Storm,Heavy Rain,Ice Statue,Mine,Muscle Charge,Mach Jab,Heavy Impact,War Cry,Charge Attack,Fighting Aura,,,,,04:00-18:00,Super Carrot,100,+ATK -SPD,"Sand and Gravel Wilderness, Night Canyon",1.85,"Sewer Maze, Binary Castle",45,6450,5250,700,645,625,660,MachGaogamon,Monzaemon,GrappuLeomon,,,Chaosmon,,,,,
Rosemon,Ultimate,Data,Nature,Darkness,None,Poison Circle,Earth Coat,Poison Powder,Roots Bind,Rock Fall,Land Slide,Poison Storm,Heavy Impact,War Cry,Dark Spirit,Loose Cloud,Evil Squall,,,,,04:00-18:00,Edible Cactus,90,+BRN -ATK,"Signpost Forest, Binary Castle",1.75,"Bonkeno Volcano, Sand and Gravel Wilderness",39,5300,6500,570,630,690,730,Lilamon,LadyDevimon,Lilimon,,,Rosemon X-Antibody,,,,,
PlatinumNumemon,Ultimate,Virus,Filth,None,None,Poop Trap,Ultra Stink Spray,Dirty Kick,Poop Barrier,Random Poop Toss,Poop Fall,Ultimate Poop Hell,Light Soul,Flash,Holy Sunshine,Electric Cloud,Thunderstorm,Confuse Storm,Hurricane,,,07:00-22:00,Deluxe Mushroom,100,+HP -ATK,"Sewer Maze, Flourescent Cave",1.85,"Sand and Gravel Wilderness, Night Canyon",52,7200,5600,580,720,600,620,Etemon,,,,,,,,,,
Omegamon,Ultimate,Vaccine,Combat,Fire,Light,Spin Attack,Spread Bomb,Flame Storm,Fire Wall,Muscle Charge,Mach Jab,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Holy Sunshine,Judgement,Heavy Laser,DG Dimension V2,,,07:00-22:00,Super Veggie,100,+HP -SPD,"Ancient Submerged City, Binary Castle",1.95,"Sewer Maze, Night Canyon",58,7000,6000,700,700,600,600,WarGreymon,MetalGarurumon,,,,Omegamon X-Antibody,,,,,
ShineGreymon,Ultimate,Vaccine,Combat,Fire,Machine,Spin Attack,Magma Bomb,Flame Storm,Mine,Muscle Charge,Mach Jab,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Heavy Laser,Machine Fall,,,,,07:00-22:00,Tough Fruit,100,+ATK -BRN,"Bonkeno Volcano, Ancient Bone Swamp",1.95,"Ancient Submerged City, Powdery Cliffs",50,6000,6200,750,550,700,580,RizeGreymon,SkullGreymon,,,,,,,,,
MirageGaogamon,Ultimate,Data,Combat,Air,None,Spin Attack,Electric Cloud,Confuse Storm,Hurricane,Wind Shoes,Muscle Charge,Mach Jab,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Upgrade,,,,,04:00-18:00,Quick Fruit,100,+SPD -MP,"Railroad Plains, Signpost Forest",1.9,"Night Canyon, Ancient Bone Swamp",42,5800,5600,720,580,780,580,MachGaogamon,WereGarurumon,,,,,,,,,
WarGreymon X-Antibody,Ultimate,Vaccine,Machine,Combat,Fire,Energy Ball,Upgrade,Mechanical Claw,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,Spin Attack,War Cry,Charge Attack,Fighting Aura,Magma Bomb,Heavy Impact,Flame Storm,,,04:00-18:00,Chain Melon,100,+ATK -BRN,"Bonkeno Volcano, Binary Castle",1.95,"Ancient Submerged City, Sewer Maze",64,7400,4800,770,700,650,620,WarGreymon,,,,,,,,,,
Dukemon,Ultimate,Virus,Combat,Fire,Light,Spin Attack,Flame Storm,Muscle Charge,Mach Jab,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Light Soul,Flash,Holy Sunshine,Judgement,,,,,07:00-22:00,Strength Fruit,100,+DEF -SPD,"Sewer Maze, Binary Castle",1.9,"Signpost Forest, Night Canyon",54,6300,5800,690,740,540,620,MegaloGrowmon,Digitamamon,,,,Dukemon X-Antibody,,,,,
MetalGarurumon,Ultimate,Data,Machine,Ice,Combat,Energy Ball,Hailstone,War Cry,Charge Attack,Ice Statue,Aurora Freeze,Upgrade,Mechanical Claw,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,,,,,07:00-22:00,Peace Fruit,100,+SPD -BRN,"Flourescent Cave, Powdery Cliffs",1.85,"Signpost Forest, Bonkeno Volcano",46,6600,5400,660,690,720,530,WereGarurumon,Megadramon,MetalMamemon,,,Omegamon,,,,,
Z'dGarurumon,Ultimate,Data,Machine,Combat,Air,Energy Ball,Confuse Storm,Mach Jab,Spin Attack,Charge Attack,Fighting Aura,Thunderstorm,Upgrade,Mechanical Claw,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,,,,07:00-22:00,Strength Fruit,100,+ATK -BRN,"Flourescent Cave, Powdery Cliffs",1.9,"Signpost Forest, Sewer Maze",48,7600,6200,800,750,820,650,MachGaogamon,WereGarurumon,,,,,,,,,
VictoryGreymon,Ultimate,Vaccine,Machine,Combat,Fire,Energy Ball,Upgrade,Mechanical Claw,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,Mach Jab,Spin Attack,Heavy Impact,Fighting Aura,Spread Bomb,Magma Bomb,,,,11:00-01:00,Tough Fruit,100,+ATK -SPD,"Bonkeno Volcano, Ancient Bone Swamp",1.95,"Ancient Submerged City, Powdery Cliffs",55,7500,5900,920,880,640,620,MetalGreymon,RizeGreymon,,,,,,,,,
Examon,Ultimate,Data,Air,Combat,Light,Air Cutter,Wind Shoes,Electric Shoot,Electric Cloud,Thunderstorm,Confuse Storm,Hurricane,Mach Jab,War Cry,Charge Attack,Flash,Holy Sunshine,Judgement,Aurora Freeze,Ice Statue,,04:00-18:00,Chain Melon,110,+BRN -SPD,"Bonkeno Volcano, Powdery Cliffs",2.25,"Sewer Maze, Flourescent Cave",100,8000,8000,800,800,800,800,,,,,,,,,,,
HerakleKabuterimon,Ultimate,Vaccine,Nature,Combat,Fire,Poison Circle,Spread Bomb,Mine,Earth Coat,Poison Powder,Roots Bind,Rock Fall,Land Slide,Poison Storm,Muscle Charge,War Cry,Fighting Aura,,,,,19:00-09:00,Robust Fruit,100,+HP -BRN,Signpost Forest,1.9,"Sewer Maze, Powdery Cliffs",52,8000,5200,600,760,580,540,AtlurKabuterimon,Okuwamon,Vademon,,,,,,,,
Hououmon,Ultimate,Vaccine,Fire,Air,Light,Fire Wall,Fire Tower,Fire Breath,Mine,Spread Bomb,Magma Bomb,Flame Storm,Wind Shoes,Air Cutter,Confuse Storm,Hurricane,Flash,Holy Sunshine,,,,04:00-18:00,Peace Fruit,100,+BRN -DEF,"Flourescent Cave, Bonkeno Volcano, Ancient Bone Swamp",1.9,"Ancient Submerged City, Powdery Cliffs",38,5900,6800,570,590,650,720,Garudamon,Taomon,,,,,,,,,
MetalEtemon,Ultimate,Virus,Combat,Filth,Machine,Spin Attack,Ultra Stink Spray,Poop Trap,Poop Barrier,Random Poop Toss,Poop Fall,Ultimate Poop Hell,Dirty Kick,Heavy Impact,Charge Attack,Mechanical Claw,Upgrade,Mach Jab,,,,11:00-01:00,Orange Banana,100,+ATK -BRN,"Sewer Maze, Night Canyon",1.85,"Ancient Submerged City, Ancient Bone Swamp",48,8200,6200,840,790,780,550,Monzaemon,Etemon,,,,,,,,,
Seraphimon,Ultimate,Vaccine,Light,Combat,None,Flash,Light Soul,Holy Sunshine,Judgement,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Ice Statue,Thunderstorm,,,,07:00-22:00,Peace Fruit,100,+ATK -MP,"Powdery Cliffs, Binary Castle",1.95,"Sewer Maze, Flourescent Cave",50,6700,5600,760,580,680,700,Garudamon,HolyAngemon,,,,,,,,,
BlackWarGreymon X-Antibody,Ultimate,Virus,Machine,Combat,Fire,Magma Bomb,Spin Attack,War Cry,Charge Attack,Fighting Aura,Mechanical Claw,Upgrade,Energy Ball,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,Confuse Storm,Loose Cloud,Evil Squall,,16:00-06:00,Devil Chip D,100,+ATK -HP,"Signpost Forest, Sewer Maze",1.95,"Bonkeno Volcano, Binary Castle",64,7800,5600,800,720,700,650,,,,,,,,,,,
Guardromon,Adult,Virus,Machine,None,None,Mechanical Claw,Upgrade,Energy Ball,Anti-Attack Field,Heavy Laser,Mach Jab,Spin Attack,Heavy Impact,,,,,,,,,04:00-18:00,Heavy Strawberry,70,+DEF -SPD,"Binary Castle, Night Canyon",1.6,"Ancient Submerged City, Powdery Cliffs",32,2300,1200,140,330,100,130,Hagurumon,Kamemon,Plotmon,DORUmon,,Andromon,MetalMamemon,Gigadramon,,,
Andromon,Perfect,Vaccine,Machine,Combat,None,Mechanical Claw,Upgrade,Energy Ball,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,Mach Jab,Spin Attack,War Cry,Charge Attack,,,,,,04:00-18:00,Heavy Strawberry,90,+ATK -MP,"Binary Castle, Night Canyon",1.85,"Ancient Submerged City, Powdery Cliffs",50,5000,2400,390,340,280,350,Guardromon,Centalmon,,,,HiAndromon,Boltmon,,,,
Gomamon,Child,Vaccine,Ice,None,None,Bubble Breath,Hailstone,Splash,Waterfall,Mach Jab,Muscle Charge,,,,,,,,,,,07:00-22:00,Digi Medaka,40,+HP -SPD,"Ancient Submerged City, Powdery Cliffs",1.03,"Bonkeno Volcano, Sand and Gravel Wilderness",16,1200,350,85,55,35,90,Wanyamon,Tunomon,,,,Ikkakumon,Seadramon,Gaogamon,Leomon,XV-mon,
Ikkakumon,Adult,Vaccine,Ice,Combat,None,Bubble Breath,Hailstone,Splash,Waterfall,Heavy Rain,Mach Jab,Muscle Charge,Spin Attack,,,,,,,,,11:00-01:00,Digi Snapper,70,+HP -DEF,"Ancient Submerged City, Powdery Cliffs",1.6,"Bonkeno Volcano, Sand and Gravel Wilderness",29,3000,1000,220,130,110,190,Hagurumon,Kamemon,Gomamon,Betamon,,Zudomon,Gigadramon,Mamemon,,,
Zudomon,Perfect,Vaccine,Ice,Combat,None,Bubble Breath,Hailstone,Splash,Waterfall,Heavy Rain,Ice Statue,Aurora Freeze,Spin Attack,War Cry,Charge Attack,,,,,,,11:00-01:00,Ice Mushroom,90,+ATK -SPD,"Ancient Submerged City, Powdery Cliffs",1.9,"Bonkeno Volcano, Sand and Gravel Wilderness",58,4800,1900,430,370,240,390,Ikkakumon,Kuwagamon,,,,Vikemon,SaberLeomon,,,,
Vikemon,Ultimate,Free,Ice,Combat,None,Splash,Hailstone,Bubble Breath,Waterfall,Heavy Rain,Ice Statue,Aurora Freeze,Spin Attack,Heavy Impact,War Cry,Charge Attack,Fighting Aura,,,,,11:00-01:00,Digi Seabass,100,+HP -BRN,"Ancient Submerged City, Powdery Cliffs",1.95,"Bonkeno Volcano, Sand and Gravel Wilderness",58,8000,5000,640,680,560,620,Zudomon,GrappuLeomon,,,,,,,,,
Seadramon,Adult,Data,Ice,None,None,Bubble Breath,Hailstone,Splash,Waterfall,Heavy Rain,Wind Shoes,Air Cutter,Electric Cloud,,,,,,,,,07:00-22:00,Digi Catfish,70,+BRN -ATK,"Ancient Submerged City, Sewer Maze",1.6,"Bonkeno Volcano, Sand and Gravel Wilderness",28,1700,1400,140,220,150,230,Lalamon,Kamemon,Gomamon,Betamon,,MegaSeadramon,Megadramon,AeroV-dramon,,,
Palmon,Child,Data,Nature,None,None,Poison Powder,Earth Coat,Poison Circle,Roots Bind,Mach Jab,Muscle Charge,,,,,,,,,,,01:00-15:00,Digital Ion Water,40,+MP -DEF,Signpost Forest,1.0,"Bonkeno Volcano, Powdery Cliffs",14,800,800,85,50,65,60,Budmon,,,,,Togemon,Woodmon,Sunflowmon,Vegimon,Centalmon,
Togemon,Adult,Data,Nature,Combat,None,Poison Powder,Earth Coat,Poison Circle,Roots Bind,Rock Fall,Mach Jab,Muscle Charge,Spin Attack,,,,,,,,,04:00-18:00,Digital Ion Water,70,+HP -BRN,"Sand and Gravel Wilderness, Night Canyon",1.55,"Sewer Maze, Flourescent Cave",32,2300,1400,210,140,180,150,Lalamon,Palmon,Wormmon,PicoDevimon,,Lilimon,Etemon,MachGaogamon,,,
Rosemon X-Antibody,Ultimate,Data,Nature,Darkness,None,Poison Circle,Earth Coat,Poison Powder,Roots Bind,Rock Fall,Land Slide,Poison Storm,Heavy Impact,War Cry,Dark Spirit,Loose Cloud,Evil Squall,,,,,07:00-22:00,Chain Melon,90,+BRN -HP,"Signpost Forest, Binary Castle",1.75,"Bonkeno Volcano, Sand and Gravel Wilderness",39,5500,6700,600,650,720,750,Rosemon,,,,,,,,,,
Omegamon X-Antibody,Ultimate,Vaccine,Combat,Fire,Light,Spin Attack,Spread Bomb,Flame Storm,Fire Wall,Muscle Charge,Mach Jab,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Holy Sunshine,Judgement,Heavy Laser,DG Dimension V2,63,,07:00-22:00,Chain Melon,100,+ATK -BRN,"Ancient Submerged City, Binary Castle",1.95,"Sewer Maze, Night Canyon",65,4000,4000,400,400,400,400,Omegamon,,,,,,,,,,
Dukemon X-Antibody,Ultimate,Virus,Combat,Fire,Light,Spin Attack,Flame Storm,Muscle Charge,Mach Jab,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Light Soul,Flash,Holy Sunshine,Judgement,63,,,,04:00-18:00,Chain Melon,100,+DEF -SPD,"Sewer Maze, Binary Castle",1.9,"Signpost Forest, Night Canyon",58,6600,6000,750,820,560,660,Dukemon,,,,,,,,,,
Lilimon,Perfect,Data,Nature,Air,None,Poison Powder,Earth Coat,Poison Circle,Roots Bind,Rock Fall,Land Slide,Poison Storm,Wind Shoes,Air Cutter,Electric Cloud,,,,,,,04:00-18:00,Digital Ion Water,80,+MP -DEF,"Railroad Plains, Signpost Forest",1.75,"Bonkeno Volcano, Sand and Gravel Wilderness",26,2900,4500,285,280,380,415,Tailmon,Togemon,,,,Rosemon,Sakuyamon,,,,
Plotmon,Child,Vaccine,Light,None,None,Light Soul,Flash,Mach Jab,Muscle Charge,Wind Shoes,Earth Coat,,,,,,,,,,,07:00-22:00,Meat,40,+MP -ATK,"Railroad Plains, Binary Castle",1.0,"Sand and Gravel Wilderness, Ancient Bone Swamp",13,450,1050,45,80,50,95,Wanyamon,,,,,Tailmon,BlackTailmon,Leomon,Centalmon,Guardromon,
Tyranomon,Adult,Data,Combat,Fire,None,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Fire Breath,Mine,Fire Tower,,,,,,,,,11:00-01:00,Sirloin,78,+ATK -BRN,"Bonkeno Volcano, Ancient Bone Swamp",1.82,"Ancient Submerged City, Powdery Cliffs",32,2600,1100,310,170,100,100,Agumon,Guilmon,Goburimon,Tyumon,,MetalTyranomon,SkullGreymon,Mamemon,,,
MetalTyranomon,Perfect,Virus,Machine,Combat,Fire,Mechanical Claw,Upgrade,Energy Ball,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,War Cry,Charge Attack,Spread Bomb,Magma Bomb,,,,,,11:00-01:00,Super Veggie,98,+HP -MP,"Bonkeno Volcano, Ancient Bone Swamp",2.0,"Ancient Submerged City, Night Canyon",60,4600,1500,500,450,290,250,Greymon,Tyranomon,,,,RustTyranomon,Mugendramon,,,,
XV-mon,Adult,Free,Combat,Fire,None,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Charge Attack,Fire Tower,Mine,,,,,,,,,11:00-01:00,Divine Chestnut,70,+ATK -HP,"Railroad Plains, Bonkeno Volcano",1.55,"Signpost Forest, Ancient Bone Swamp",25,1200,1200,230,260,180,140,V-mon,Gomamon,DORUmon,,,Paildramon,AeroV-dramon,RizeGreymon,,,
Kuwagamon,Adult,Virus,Combat,Nature,None,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,Poison Powder,Poison Circle,Roots Bind,,,,,,,,,,16:00-06:00,Heavy Strawberry,70,+ATK -BRN,"Signpost Forest, Ancient Bone Swamp",1.55,"Flourescent Cave, Bonkeno Volcano",25,1900,1400,235,190,165,130,Hagurumon,Tentomon,Goburimon,Wormmon,,Okuwamon,Piccolomon,Zudomon,,,
Centalmon,Adult,Data,Air,Combat,None,Electric Shoot,Wind Shoes,Air Cutter,Electric Cloud,Thunderstorm,Mach Jab,Muscle Charge,Spin Attack,,,,,,,,,07:00-22:00,Sirloin,70,+HP -DEF,"Signpost Forest, Night Canyon",1.55,"Sewer Maze, Bonkeno Volcano",30,2300,1800,140,140,220,140,Palmon,Plotmon,DORUmon,,,HolyAngemon,Taomon,Andromon,,,
Digitamamon,Perfect,Data,Darkness,Machine,None,Dark Spirit,Loose Cloud,Evil Squall,Upgrade,Energy Ball,Anti-Attack Field,Spin Attack,Heavy Impact,Charge Attack,,,,,,,,16:00-06:00,Digi Eel,90,+BRN -ATK,"Binary Castle, Night Canyon",1.75,"Ancient Submerged City, Powdery Cliffs",34,3900,3300,310,330,360,380,Orgemon,Vegimon,,,,Titamon,PrinceMamemon,Dukemon,,,
Jyureimon,Perfect,Virus,Nature,Air,None,Poison Powder,Earth Coat,Poison Circle,Roots Bind,Rock Fall,Land Slide,Poison Storm,Air Cutter,Electric Cloud,Confuse Storm,,,,,,,01:00-15:00,Digital Ion Water,90,+MP -SPD,"Signpost Forest, Ancient Bone Swamp",1.8,"Bonkeno Volcano, Sand and Gravel Wilderness",55,3100,4600,250,415,240,425,Vegimon,Woodmon,,,,Pinochimon,GranKuwagamon,,,,
WaruMonzaemon,Perfect,Virus,Combat,Darkness,None,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Loose Cloud,Evil Squall,Roots Bind,,,,,,,16:00-06:00,Deluxe Mushroom,90,+HP -MP,"Flourescent Cave, Night Canyon",1.85,"Ancient Submerged City, Binary Castle",55,3750,3250,375,325,325,375,Orgemon,Bakemon,BlackTailmon,,,Beelzebumon,GranKuwagamon,,,,
Magnamon,Ultimate,Vaccine,Combat,Light,Air,Spin Attack,Muscle Charge,Mach Jab,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Mechanical Claw,Machine Fall,Wind Shoes,Earth Coat,Judgement,Flash,Holy Sunshine,,,04:00-18:00,Divine Chestnut,100,+DEF -MP,"Sand and Gravel Wilderness, Binary Castle",1.9,"Sewer Maze, Flourescent Cave",45,7000,4200,640,860,640,540,AtlurKabuterimon,Paildramon,,,,Magnamon X-Antibody,,,,,
RustTyranomon,Ultimate,Virus,Machine,Combat,Fire,Energy Ball,Upgrade,Mechanical Claw,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,Muscle Charge,Heavy Impact,War Cry,Fighting Aura,Spread Bomb,Magma Bomb,Charge Attack,,,11:00-01:00,Super Veggie,105,+ATK -SPD,"Bonkeno Volcano, Ancient Bone Swamp",2.15,"Ancient Submerged City, Sewer Maze",68,8000,5200,960,780,660,580,MegaloGrowmon,MetalTyranomon,,,,,,,,,
Mugendramon,Ultimate,Virus,Machine,Combat,Fire,Energy Ball,Upgrade,Mechanical Claw,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,Mine,Spread Bomb,Magma Bomb,War Cry,Charge Attack,Fighting Aura,Evil Squall,,,16:00-06:00,Super Veggie,100,+ATK -SPD,"Bonkeno Volcano, Ancient Bone Swamp",2.1,"Ancient Submerged City, Sewer Maze",68,7800,5600,920,740,540,580,MetalTyranomon,Gigadramon,,,,Chaosdramon,,,,,
Bubbmon,Baby I,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+MP -HP,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",7,100,140,10,12,10,10,,,,,,Mochimon,,,,,
Mochimon,Baby II,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+MP -HP,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",11,200,280,20,24,20,20,Bubbmon,,,,,Hagurumon,Tentomon,Lalamon,Piyomon,Impmon,
Betamon,Child,Virus,Ice,None,None,Bubble Breath,Hailstone,Splash,Waterfall,Mach Jab,Muscle Charge,,,,,,,,,,,07:00-22:00,Digi Anchovy,40,+DEF -MP,"Ancient Submerged City, Ancient Bone Swamp",1.0,"Bonkeno Volcano, Sand and Gravel Wilderness",12,650,550,65,85,65,85,Budmon,Tunomon,,,,Seadramon,Ikkakumon,Sunflowmon,Vegimon,Orgemon,
Lucemon,Child,Vaccine,Light,Air,Darkness,Light Soul,Dark Spirit,Loose Cloud,Flash,Evil Squall,Holy Sunshine,Electric Shoot,Wind Shoes,Air Cutter,Electric Cloud,Confuse Storm,Hurricane,,,,,04:00-18:00,Chain Melon,40,+BRN -DEF,"Powdery Cliffs, Binary Castle",1.0,"Night Canyon, Ancient Bone Swamp",16,2500,2500,250,250,250,250,Tokomon,,,,,Lucemon FM,Angemon,Devimon,,,
Renamon,Child,Data,Air,Combat,None,Electric Shoot,Wind Shoes,Air Cutter,Electric Cloud,Mach Jab,Spin Attack,,,,,,,,,,,07:00-22:00,Digimushroom,40,+SPD -DEF,"Railroad Plains, Powdery Cliffs",1.0,"Sewer Maze, Sand and Gravel Wilderness",15,450,850,75,45,95,75,Wanyamon,,,,,Kiwimon,Garurumon,BlackTailmon,Woodmon,Growmon,
